Date,Beras,Daging Ayam,Daging Sapi,Telur Ayam,Bawang Merah,Bawang Putih,Cabai Merah,Cabai Rawit,Minyak Goreng,Gula Pasir
2016-08-17,11350.0,34900.0,115100.0,22800.0,40850.0,36600.0,35450.0,42200.0,13450.0,16700.0
2016-08-18,11300.0,34300.0,114150.0,22550.0,40350.0,36100.0,35100.0,41200.0,13500.0,16650.0
2016-08-19,11250.0,34150.0,113850.0,22400.0,40300.0,36150.0,34550.0,40350.0,13500.0,16650.0
2016-08-20,11250.0,34150.0,113850.0,22400.0,40300.0,36150.0,34550.0,40350.0,13500.0,16650.0
2016-08-21,11250.0,34150.0,113850.0,22400.0,40300.0,36150.0,34550.0,40350.0,13500.0,16650.0
2016-08-22,11350.0,34400.0,114400.0,22150.0,39700.0,35950.0,36050.0,41100.0,13550.0,16600.0
2016-08-23,11350.0,33900.0,114500.0,22250.0,39700.0,36000.0,36400.0,41100.0,13650.0,16600.0
2016-08-24,11300.0,33350.0,114150.0,22150.0,39850.0,35900.0,35850.0,40500.0,13650.0,16550.0
2016-08-25,11300.0,33150.0,114450.0,22150.0,39750.0,35950.0,35850.0,40250.0,13650.0,16550.0
2016-08-26,11250.0,32800.0,113650.0,22100.0,39800.0,36000.0,35700.0,39850.0,13700.0,16600.0
2016-08-27,11250.0,32800.0,113650.0,22100.0,39800.0,36000.0,35700.0,39850.0,13700.0,16600.0
2016-08-28,11250.0,32800.0,113650.0,22100.0,39800.0,36000.0,35700.0,39850.0,13700.0,16600.0
2016-08-29,11300.0,32300.0,114600.0,21850.0,39750.0,35750.0,36450.0,39300.0,13700.0,16450.0
2016-08-30,11300.0,32100.0,114450.0,21850.0,39650.0,35600.0,37100.0,39050.0,13700.0,16450.0
2016-08-31,11300.0,31850.0,114450.0,21800.0,40000.0,35650.0,37300.0,38950.0,13750.0,16450.0
2016-09-01,11250.0,31600.0,114000.0,21700.0,40100.0,35950.0,37650.0,38100.0,13700.0,16350.0
2016-09-02,11300.0,31500.0,114050.0,21750.0,40500.0,36000.0,38100.0,38250.0,13750.0,16300.0
2016-09-03,11300.0,31500.0,114050.0,21750.0,40500.0,36000.0,38100.0,38250.0,13750.0,16300.0
2016-09-04,11300.0,31500.0,114050.0,21750.0,40500.0,36000.0,38100.0,38250.0,13750.0,16300.0
2016-09-05,11250.0,31600.0,114100.0,21850.0,41850.0,36650.0,41750.0,38950.0,13750.0,16250.0
2016-09-06,11250.0,31600.0,114150.0,21850.0,42050.0,36850.0,43000.0,38900.0,13750.0,16250.0
2016-09-07,11250.0,31700.0,114650.0,21850.0,42550.0,36950.0,44700.0,38450.0,13750.0,16200.0
2016-09-08,11250.0,32100.0,114300.0,21800.0,42550.0,37000.0,45550.0,38150.0,13800.0,16200.0
2016-09-09,11150.0,32300.0,114150.0,21800.0,42800.0,37150.0,47150.0,37950.0,13800.0,16250.0
2016-09-10,11150.0,32300.0,114150.0,21800.0,42800.0,37150.0,47150.0,37950.0,13800.0,16250.0
2016-09-11,11150.0,32300.0,114150.0,21800.0,42800.0,37150.0,47150.0,37950.0,13800.0,16250.0
2016-09-12,11150.0,32300.0,114150.0,21800.0,42800.0,37150.0,47150.0,37950.0,13800.0,16250.0
2016-09-13,11150.0,33150.0,115150.0,21850.0,43000.0,37550.0,47150.0,37550.0,13800.0,16250.0
2016-09-14,11250.0,32850.0,115450.0,21800.0,42500.0,37500.0,46100.0,38100.0,13800.0,16200.0
2016-09-15,11250.0,32750.0,114900.0,21850.0,42450.0,37300.0,44550.0,37550.0,13800.0,16200.0
2016-09-16,11250.0,32500.0,114450.0,21850.0,42350.0,37200.0,43450.0,36400.0,13750.0,16200.0
2016-09-17,11250.0,32500.0,114450.0,21850.0,42350.0,37200.0,43450.0,36400.0,13750.0,16200.0
2016-09-18,11250.0,32500.0,114450.0,21850.0,42350.0,37200.0,43450.0,36400.0,13750.0,16200.0
2016-09-19,11250.0,32200.0,114000.0,21800.0,42000.0,37250.0,39650.0,34100.0,13750.0,16150.0
2016-09-20,11250.0,32000.0,113850.0,21800.0,41700.0,37200.0,38550.0,33500.0,13800.0,16100.0
2016-09-21,11250.0,32100.0,114000.0,21750.0,41800.0,37150.0,41750.0,32650.0,13800.0,16100.0
2016-09-22,11250.0,32150.0,114050.0,21700.0,41750.0,37200.0,37900.0,32050.0,13750.0,16100.0
2016-09-23,11250.0,32050.0,114200.0,21750.0,41700.0,37250.0,37550.0,31700.0,13750.0,16050.0
